ticker,year,sigma_E,method,days_used,flag,size_bucket
CWBC,2019,0.24332152929237977,imputed_peer,0,no_daily_data,small
CWBC,2020,0.23780468310986325,imputed_peer,0,no_daily_data,small
CWBC,2021,0.6550777488618563,imputed_peer,0,no_daily_data,small
CWBC,2022,0.29782618194732896,imputed_peer,0,no_daily_data,small
CWBC,2023,,imputed_peer,0,no_daily_data,
CZNC,2016,0.16873276864440606,daily_252,252,,
CZNC,2017,0.20720540356474856,daily_252,252,,
CZNC,2018,0.2145022958711993,daily_252,251,,small
CZNC,2019,0.24504932094127824,daily_252,251,,small
CZNC,2020,0.24399074217399974,daily_252,252,,small
CZNC,2021,0.7186549255471874,daily_252,253,,small
CZNC,2022,0.28069755190144446,daily_252,252,,small
CZNC,2023,0.22402579738507297,daily_252,251,,small
DCOM,2016,0.23428798962790343,daily_252,252,,
DCOM,2017,0.21884899119342013,daily_252,252,,small
DCOM,2018,0.23715262483172375,daily_252,251,,small
DCOM,2019,0.23607549140469242,daily_252,251,,small
DCOM,2020,0.2450024516029734,daily_252,252,,small
DCOM,2021,0.6286768773501369,daily_252,253,,small
DCOM,2022,0.33548628189348456,daily_252,252,,small
DCOM,2023,0.3002054117306039,daily_252,251,,
DFS.N^E25,2016,0.2171105691733638,daily_252,252,,
DFS.N^E25,2017,0.24487702996939845,daily_252,252,,
DFS.N^E25,2018,0.17814034230259923,daily_252,251,,
DFS.N^E25,2019,0.25291973687971925,daily_252,251,,
DFS.N^E25,2020,0.2202549145886302,daily_252,252,,
DFS.N^E25,2021,0.8581292842446292,daily_252,253,,
DFS.N^E25,2022,0.3352863032828398,daily_252,252,,
DFS.N^E25,2023,0.4014248171113889,daily_252,251,,
EBC,2016,,imputed_peer,0,no_daily_data,
EBC,2017,,imputed_peer,0,no_daily_data,
EBC,2018,,imputed_peer,0,no_daily_data,
EBC,2019,,imputed_peer,0,no_daily_data,
EBC,2020,,imputed_peer,0,no_daily_data,
EBC,2021,,imputed_peer,53,no_daily_data,
EBC,2022,0.23978473754862145,daily_252,252,,small
EBC,2023,0.25141247258726807,daily_252,251,,small
EBMT,2016,0.17778416299484898,daily_252,252,,
EBMT,2017,0.269149937226457,daily_252,252,,
