Index,Date,Instrument,Total Return
482,2013,CCBG.OQ,19.05759162
483,2014,CCBG.OQ,3.518029906
484,2015,CCBG.OQ,32.86620882
485,2016,CCBG.OQ,-0.369667207
486,2017,CCBG.OQ,34.8563946
487,2018,CCBG.OQ,13.27287167
488,2019,CCBG.OQ,2.479270413
489,2020,CCBG.OQ,33.94280489
490,2021,CCBG.OQ,-17.37732939
491,2022,CCBG.OQ,10.02804488
492,2023,CCBG.OQ,25.84321802
493,2024,CCBG.OQ,-7.218737714
494,2013,CCNE.OQ,8.221774532
495,2014,CCNE.OQ,20.45523279
496,2015,CCNE.OQ,1.104677811
497,2016,CCNE.OQ,1.218713889
498,2017,CCNE.OQ,53.40219177
499,2018,CCNE.OQ,0.791474656
500,2019,CCNE.OQ,-10.46217552
501,2020,CCNE.OQ,45.92379859
502,2021,CCNE.OQ,-32.50644369
503,2022,CCNE.OQ,27.97765004
504,2023,CCNE.OQ,-7.763752568
505,2024,CCNE.OQ,-1.570766516
506,2013,CFFI.OQ,50.96092923
507,2014,CFFI.OQ,20.22615109
508,2015,CFFI.OQ,-10.11589609
509,2016,CFFI.OQ,1.469612385
510,2017,CFFI.OQ,31.67868986
511,2018,CFFI.OQ,19.50027311
512,2019,CFFI.OQ,-5.865760733
513,2020,CFFI.OQ,6.989854213
514,2021,CFFI.OQ,-29.80443935
515,2022,CFFI.OQ,42.2730701
516,2023,CFFI.OQ,17.53238171
517,2024,CFFI.OQ,20.61590337
518,2013,CFG.N,NaN
519,2014,CFG.N,NaN
520,2015,CFG.N,8.168713103
521,2016,CFG.N,7.028215699
522,2017,CFG.N,38.80124049
523,2018,CFG.N,19.8983779
524,2019,CFG.N,-27.43796097
525,2020,CFG.N,41.82399549
526,2021,CFG.N,-6.677397511
527,2022,CFG.N,36.94510642
528,2023,CFG.N,-13.37980246
529,2024,CFG.N,-10.92786393
530,2013,CFR.N,6.095515535
531,2014,CFR.N,41.26118591
532,2015,CFR.N,-2.539430597
