ticker,year,total_return,tier,data_source
BOH,2020,-0.16253802555242558,Tier 1,monthly_12m
BOH,2021,0.1286283063578204,Tier 1,monthly_12m
BOH,2022,-0.04148068450268283,Tier 1,monthly_12m
CATY,2016,0.24339214564148293,Tier 1,monthly_12m
CATY,2017,0.13419653059922876,Tier 1,monthly_12m
CATY,2018,-0.1847875887877738,Tier 1,monthly_12m
CATY,2019,0.17511181400357945,Tier 1,monthly_12m
CATY,2020,-0.11516444084137101,Tier 1,monthly_12m
CATY,2021,0.3778091138574702,Tier 1,monthly_12m
CATY,2022,-0.020934081994356868,Tier 1,monthly_12m
CATY,2023,0.13455284741432316,Tier 1,monthly_12m
HOMB,2016,0.37068114503016547,Tier 1,monthly_12m
HOMB,2017,-0.16276557431970384,Tier 1,monthly_12m
HOMB,2018,-0.2972043010763311,Tier 1,monthly_12m
HOMB,2019,0.20318237452860788,Tier 1,monthly_12m
HOMB,2020,-0.00915564611587516,Tier 1,monthly_12m
HOMB,2021,0.2500000001248206,Tier 1,monthly_12m
HOMB,2022,-0.03793248408807348,Tier 1,monthly_12m
HOMB,2023,0.14796381803509173,Tier 1,monthly_12m
CUBI,2017,-0.27442769397839006,Tier 1,monthly_12m
CUBI,2018,-0.29973066565440276,Tier 1,monthly_12m
CUBI,2019,0.30824175817992994,Tier 1,monthly_12m
CUBI,2020,-0.23645527079898665,Tier 1,monthly_12m
CUBI,2021,2.5957095713151834,Tier 1,monthly_12m
CUBI,2022,-0.566467798690383,Tier 1,monthly_12m
WSFS,2016,0.44319667880213864,Tier 1,monthly_12m
WSFS,2017,0.03912746746686313,Tier 1,monthly_12m
WSFS,2018,-0.20077126501767184,Tier 1,monthly_12m
WSFS,2019,0.1732815764981579,Tier 1,monthly_12m
WSFS,2020,0.03618057670060493,Tier 1,monthly_12m
WSFS,2021,0.12857501419611617,Tier 1,monthly_12m
WSFS,2022,-0.08434221371956874,Tier 1,monthly_12m
WSFS,2023,0.028671390222473336,Tier 1,monthly_12m
INDB,2016,0.5479890139218935,Tier 1,monthly_12m
INDB,2017,0.010501492335315943,Tier 1,monthly_12m
INDB,2018,0.027253922344071535,Tier 1,monthly_12m
INDB,2019,0.21127780441435995,Tier 1,monthly_12m
INDB,2020,-0.09584794382758344,Tier 1,monthly_12m
INDB,2021,0.14342599166584402,Tier 1,monthly_12m
INDB,2022,0.06221626101706135,Tier 1,monthly_12m
INDB,2023,-0.1890905912333395,Tier 1,monthly_12m
MBIN,2019,0.003135239989666694,Tier 1,monthly_12m
MBIN,2022,-0.22064977218680082,Tier 1,monthly_12m
MBIN,2023,0.769895838497114,Tier 1,monthly_12m
WSBC,2016,0.4761875383855072,Tier 1,monthly_12m
WSBC,2017,-0.030140838443857176,Tier 1,monthly_12m
WSBC,2018,-0.07360497935281685,Tier 1,monthly_12m
WSBC,2019,0.06533174845249201,Tier 1,monthly_12m
WSBC,2020,-0.16226086794425532,Tier 1,monthly_12m
WSBC,2021,0.21311217598539556,Tier 1,monthly_12m
WSBC,2022,0.09897772878067901,Tier 1,monthly_12m
WSBC,2023,-0.10842209688846116,Tier 1,monthly_12m
FFBC,2016,0.6237405913206113,Tier 1,monthly_12m
FFBC,2017,-0.04946260959751558,Tier 1,monthly_12m
FFBC,2018,-0.07561601021573106,Tier 1,monthly_12m
FFBC,2019,0.11292607036017799,Tier 1,monthly_12m
FFBC,2020,-0.2689652370849669,Tier 1,monthly_12m
FFBC,2021,0.4458926657069584,Tier 1,monthly_12m
FFBC,2022,0.03387251604594721,Tier 1,monthly_12m
FFBC,2023,0.02394589795256019,Tier 1,monthly_12m
FRME,2016,0.5105479103766679,Tier 1,monthly_12m
FRME,2017,0.13616536767212128,Tier 1,monthly_12m
FRME,2018,-0.169278358574678,Tier 1,monthly_12m
FRME,2019,0.24606746660869994,Tier 1,monthly_12m
FRME,2020,-0.06912479480558287,Tier 1,monthly_12m
FRME,2021,0.14968834994077085,Tier 1,monthly_12m
FRME,2022,0.010994556844359016,Tier 1,monthly_12m
FRME,2023,-0.05845906374612497,Tier 1,monthly_12m
TRMK,2016,0.6013165535370311,Tier 1,monthly_12m
TRMK,2017,-0.08024610266165944,Tier 1,monthly_12m
TRMK,2018,-0.0821900556886207,Tier 1,monthly_12m
TRMK,2019,0.24727896935976434,Tier 1,monthly_12m
