instrument,year,covid,rit_rf,rit,new_wacc,"weighted_average_cost_of_capital,_(%)",beta_levered,beta_unlevered,environmental_pillar_score,social_pillar_score,governance_pillar_score,esg_score,esg_combined_score,environmental_pillar_score_1,social_pillar_score_1,governance_pillar_score_1,esg_score_1,esg_combined_score_1,lnta,td/ta,price_to_book_value_per_share,capital_adequacy_total_(%),"wacc_tax_rate,_(%)","wacc_cost_of_debt,_(%)","wacc_debt_weight,_(%)","wacc_equity_weight,_(%)",total_assets,debt_total,d/e,dummylarge,dummymid,DD_a,PD_a,DD_m,PD_m
SFST,2023,1.0,-0.079451673,-0.029951673,3.655907254,6.577508497,0.855435219,0.758124346,22.90914385,38.88492861,33.43874033,32.60247635,32.60247635,25.84508103,31.02509674,34.73688195,29.34604282,29.34604282,8.307900522,0.07675991,0.960330853,12.28,23.05302,4.784563216,14.29644853,85.70355147,4055.789,311.322,0.16681279,0.0,0.0,8.397083908559873,2.288514943921634e-17,4.362698163778143,6.423406541757222e-06
BHB,2017,0.0,0.134513681,0.142513681,1.667090536,5.715397779,0.777567838,0.690811662,22.15799615,39.66854724,63.34134065,42.47848207,42.47848207,21.15270351,27.22938214,51.90557452,32.19178037,32.19178037,8.178970944,0.232728802,1.176156821,13.73,28.25284,2.154519248,14.89647678,85.10352322,3565.184,829.721,0.175039484,0.0,0.0,10.160152004368674,1.4930526739277963e-24,6.890104471005451,2.7875714730348604e-12
BHB,2018,0.0,-0.219405899,-0.201305899,2.885476792,7.396805531,0.839373328,0.743061748,21.58687943,33.78781017,75.47523873,43.92983979,43.92983979,22.15799615,39.66854724,63.34134065,42.47848207,42.47848207,8.19104385,0.200581573,0.939570468,14.23,28.25284,4.259374773,15.30121951,84.69878049,3608.487,723.796,0.180654543,0.0,0.0,7.738487490088456,5.0303223168997234e-15,4.904693456208751,4.678667896132269e-07
BHB,2019,0.0,0.026018064,0.047418064,1.482577074,6.676804502,1.007396834,0.871561255,21.29806636,31.99290535,77.10920089,43.77373932,43.77373932,21.58687943,33.78781017,75.47523873,43.92983979,43.92983979,8.207709311,0.144807159,0.996503458,13.61,28.25284,2.012095277,17.84595724,82.15404276,3669.128,531.316,0.217225551,0.0,0.0,7.237183020081813,2.2904989157432824e-13,5.052678533505827,2.178284029988589e-07
BHB,2020,1.0,-0.212482509,-0.208082509,1.585563787,4.626764763,0.89034974,0.588898341,28.80592618,56.38963868,81.98772604,58.89717298,58.89717298,21.29806636,31.99290535,77.10920089,43.77373932,43.77373932,8.222627481,0.090225077,0.827756502,13.56,28.23778,2.378708533,41.63360269,58.36639731,3724.275,336.023,0.713314589,0.0,0.0,8.98283961806643,1.3193350332526142e-19,5.1709059172522185,1.1648092101599459e-07
BHB,2021,1.0,0.214191907,0.214591907,1.571238549,1.552434742,0.877017842,0.759150991,28.52218556,51.61722315,87.37619824,58.65453912,58.65453912,28.80592618,56.38963868,81.98772604,58.89717298,58.89717298,8.218580396,0.048129627,1.023202918,14.32,20.18439,1.743508997,16.28472378,83.71527622,3709.233,178.524,0.194525116,0.0,0.0,10.4105802538144,1.1093258811977776e-25,6.173192195858509,3.34623868120597e-10
BHB,2022,1.0,0.061620572,0.075820572,3.646073414,7.128647903,0.825482426,0.71154787,30.1593517,51.94007351,84.02705407,58.06625289,58.06625289,28.52218556,51.61722315,87.37619824,58.65453912,58.65453912,8.271242268,0.100835259,1.228235668,13.5,19.18442,4.433292607,16.5367938,83.4632062,3909.803,394.246,0.198132741,0.0,0.0,9.12366238559159,3.631377871510638e-20,4.682143222465193,1.4194550582870812e-06
BHB,2023,1.0,-0.004473501,0.045026499,4.255998165,6.335741122,0.763659205,0.659601987,28.25113014,51.88047291,74.54573226,54.61602944,54.61602944,30.1593517,51.94007351,84.02705407,58.06625289,58.06625289,8.286744271,0.083483908,1.031002169,14.24,19.18442,5.219693541,16.33247757,83.66752243,3970.885,331.505,0.195206899,0.0,0.0,8.970599701278266,1.4745218263181629e-19,4.960226839595279,3.520545447983642e-07
FSBC,2022,1.0,0.07114267,0.08534267,5.170667998,6.73897331,0.691765945,0.575865955,40.79097445,25.04698316,65.15935711,37.34742168,37.34742168,42.64553224,27.47165779,67.38881562,39.21157808,39.21157808,8.079357463,0.053795304,1.857688378,12.46,3.52011,5.286133173,17.25999732,82.74000268,3227.159,173.606,0.20860523,0.0,0.0,11.492202082824324,7.219190376061929e-31,6.03881941498953,7.762293316955392e-10
FSBC,2023,1.0,-0.124061534,-0.074561534,4.502045766,6.46746143,0.829303145,0.693859044,36.44674746,21.8740279,66.64858331,36.14353445,36.14353445,40.79097445,25.04698316,65.15935711,37.34742168,37.34742168,8.186777576,0.067837607,1.580927488,12.3,8.325200791,4.977941597,17.55507875,82.44492125,3593.125,243.749,0.212930991,0.0,0.0,15.034346982936604,2.1866986977790658e-51,7.9267075040834065,1.1251623897670098e-15
